"Initial_Coral","Fishing_Pressure","Final_Coral","gamma"
0,0,0.695086910088757,0.4
0.02,0,0.695086910088757,0.4
0.04,0,0.695086910088757,0.4
0.06,0,0.695086910088757,0.4
0.08,0,0.695086910088757,0.4
0.1,0,0.695086910088757,0.4
0.12,0,0.695086910088757,0.4
0.14,0,0.695086910088757,0.4
0.16,0,0.695086910088757,0.4
0.18,0,0.695086910088757,0.4
0.2,0,0.695086910088757,0.4
0.22,0,0.695086910088757,0.4
0.24,0,0.695086910088757,0.4
0.26,0,0.695086910088757,0.4
0.28,0,0.695086910088757,0.4
0.3,0,0.695086910088757,0.4
0.32,0,0.695086910088757,0.4
0.34,0,0.695086910088757,0.4
0.36,0,0.695086910088757,0.4
0.38,0,0.695086910088757,0.4
0.4,0,0.695086910088757,0.4
0.42,0,0.695086910088757,0.4
0.44,0,0.695086910088757,0.4
0.46,0,0.695086910088757,0.4
0.48,0,0.695086910088757,0.4
0.5,0,0.695086910088757,0.4
0.52,0,0.695086910088757,0.4
0.54,0,0.695086910088757,0.4
0.56,0,0.695086910088757,0.4
0.58,0,0.695086910088757,0.4
0.6,0,0.695086910088757,0.4
0.62,0,0.695086910088757,0.4
0.64,0,0.695086910088757,0.4
0.66,0,0.695086910088757,0.4
0.68,0,0.695086910088757,0.4
0.7,0,0.695086910088757,0.4
0.72,0,0.695086910088757,0.4
0.74,0,0.695086910088757,0.4
0.76,0,0.695086910088761,0.4
0.78,0,0.695086910088761,0.4
0.8,0,0.695086910088761,0.4
0.82,0,0.695086910088761,0.4
0.84,0,0.695086910088761,0.4
0,0.02,0.694132078541634,0.4
0.02,0.02,0.694132078541634,0.4
0.04,0.02,0.694132078541634,0.4
0.06,0.02,0.694132078541634,0.4
0.08,0.02,0.694132078541634,0.4
0.1,0.02,0.694132078541634,0.4
0.12,0.02,0.694132078541634,0.4
0.14,0.02,0.694132078541634,0.4
0.16,0.02,0.694132078541634,0.4
0.18,0.02,0.694132078541634,0.4
0.2,0.02,0.694132078541634,0.4
0.22,0.02,0.694132078541634,0.4
0.24,0.02,0.694132078541634,0.4
0.26,0.02,0.694132078541634,0.4
0.28,0.02,0.694132078541634,0.4
0.3,0.02,0.694132078541634,0.4
0.32,0.02,0.694132078541634,0.4
0.34,0.02,0.694132078541634,0.4
0.36,0.02,0.694132078541634,0.4
