"Initial_Coral","Fishing_Pressure","Final_Coral","betaT","betaM"
0,0,0.038002029909964,0.9,0.7
0.02,0,0.038002029909964,0.9,0.7
0.04,0,0.038002029909964,0.9,0.7
0.06,0,0.038002029909964,0.9,0.7
0.08,0,0.038002029909964,0.9,0.7
0.1,0,0.038002029909964,0.9,0.7
0.12,0,0.038002029909964,0.9,0.7
0.14,0,0.038002029909964,0.9,0.7
0.16,0,0.038002029909964,0.9,0.7
0.18,0,0.0380020299099641,0.9,0.7
0.2,0,0.038002029909964,0.9,0.7
0.22,0,0.038002029909964,0.9,0.7
0.24,0,0.038002029909964,0.9,0.7
0.26,0,0.038002029909964,0.9,0.7
0.28,0,0.038002029909964,0.9,0.7
0.3,0,0.038002029909964,0.9,0.7
0.32,0,0.038002029909964,0.9,0.7
0.34,0,0.0380020299099641,0.9,0.7
0.36,0,0.038002029909964,0.9,0.7
0.38,0,0.0380020299099641,0.9,0.7
0.4,0,0.038002029909964,0.9,0.7
0.42,0,0.038002029909964,0.9,0.7
0.44,0,0.038002029909964,0.9,0.7
0.46,0,0.0380020299099641,0.9,0.7
0.48,0,0.038002029909964,0.9,0.7
0.5,0,0.038002029909964,0.9,0.7
0.52,0,0.702765128974377,0.9,0.7
0.54,0,0.702765128974377,0.9,0.7
0.56,0,0.702765128974377,0.9,0.7
0.58,0,0.702765128974377,0.9,0.7
0.6,0,0.702765128974377,0.9,0.7
0.62,0,0.702765128974377,0.9,0.7
0.64,0,0.702765128974377,0.9,0.7
0.66,0,0.702765128974377,0.9,0.7
0.68,0,0.702765128974377,0.9,0.7
0.7,0,0.702765128974377,0.9,0.7
0.72,0,0.702765128974377,0.9,0.7
0.74,0,0.702765128974377,0.9,0.7
0.76,0,0.702765128974377,0.9,0.7
0.78,0,0.702765128974377,0.9,0.7
0.8,0,0.702765128974377,0.9,0.7
0.82,0,0.702765128974382,0.9,0.7
0.84,0,0.702765128974382,0.9,0.7
0,0.02,0.0367365934891874,0.9,0.7
0.02,0.02,0.0367365934891874,0.9,0.7
0.04,0.02,0.0367365934891874,0.9,0.7
0.06,0.02,0.0367365934891874,0.9,0.7
0.08,0.02,0.0367365934891874,0.9,0.7
0.1,0.02,0.0367365934891874,0.9,0.7
0.12,0.02,0.0367365934891874,0.9,0.7
0.14,0.02,0.0367365934891874,0.9,0.7
0.16,0.02,0.0367365934891874,0.9,0.7
0.18,0.02,0.0367365934891874,0.9,0.7
0.2,0.02,0.0367365934891874,0.9,0.7
0.22,0.02,0.0367365934891874,0.9,0.7
0.24,0.02,0.0367365934891874,0.9,0.7
0.26,0.02,0.0367365934891874,0.9,0.7
0.28,0.02,0.0367365934891874,0.9,0.7
0.3,0.02,0.0367365934891874,0.9,0.7
0.32,0.02,0.0367365934891874,0.9,0.7
0.34,0.02,0.0367365934891874,0.9,0.7
0.36,0.02,0.0367365934891874,0.9,0.7
0.38,0.02,0.0367365934891874,0.9,0.7
0.4,0.02,0.0367365934891874,0.9,0.7
0.42,0.02,0.0367365934891874,0.9,0.7
0.44,0.02,0.0367365934891874,0.9,0.7
0.46,0.02,0.0367365934891874,0.9,0.7
0.48,0.02,0.0367365934891874,0.9,0.7
0.5,0.02,0.0367365934891874,0.9,0.7
0.52,0.02,0.0367365934891874,0.9,0.7
