"Initial_Coral","Fishing_Pressure","Final_Coral","gt","gm"
0,0,2.49800180540663e-16,2,0
0.02,0,2.49800180540663e-16,2,0
0.04,0,2.49800180540663e-16,2,0
0.06,0,2.49800180540663e-16,2,0
0.08,0,2.49800180540663e-16,2,0
0.1,0,2.49800180540663e-16,2,0
0.12,0,2.49800180540663e-16,2,0
0.14,0,2.49800180540663e-16,2,0
0.16,0,2.49800180540663e-16,2,0
0.18,0,2.49800180540663e-16,2,0
0.2,0,2.49800180540663e-16,2,0
0.22,0,2.49800180540663e-16,2,0
0.24,0,2.49800180540663e-16,2,0
0.26,0,2.49800180540663e-16,2,0
0.28,0,2.49800180540663e-16,2,0
0.3,0,2.49800180540663e-16,2,0
0.32,0,2.49800180540663e-16,2,0
0.34,0,2.49800180540663e-16,2,0
0.36,0,2.49800180540663e-16,2,0
0.38,0,2.49800180540663e-16,2,0
0.4,0,2.49800180540663e-16,2,0
0.42,0,2.49800180540663e-16,2,0
0.44,0,2.49800180540663e-16,2,0
0.46,0,2.49800180540663e-16,2,0
0.48,0,2.49800180540663e-16,2,0
0.5,0,2.49800180540663e-16,2,0
0.52,0,2.49800180540663e-16,2,0
0.54,0,2.49800180540663e-16,2,0
0.56,0,2.49800180540663e-16,2,0
0.58,0,2.49800180540663e-16,2,0
0.6,0,2.49800180540663e-16,2,0
0.62,0,2.49800180540663e-16,2,0
0.64,0,2.49800180540663e-16,2,0
0.66,0,2.49800180540663e-16,2,0
0.68,0,2.49800180540663e-16,2,0
0.7,0,2.49800180540663e-16,2,0
0.72,0,2.49800180540663e-16,2,0
0.74,0,2.49800180540663e-16,2,0
0.76,0,2.49800180540663e-16,2,0
0.78,0,2.49800180540663e-16,2,0
0.8,0,2.49800180540663e-16,2,0
0.82,0,2.49800180540663e-16,2,0
0.84,0,2.49800180540663e-16,2,0
0,0.02,2.49800180540663e-16,2,0
0.02,0.02,2.49800180540663e-16,2,0
0.04,0.02,2.49800180540663e-16,2,0
0.06,0.02,2.49800180540663e-16,2,0
0.08,0.02,2.49800180540663e-16,2,0
0.1,0.02,2.49800180540663e-16,2,0
0.12,0.02,2.49800180540663e-16,2,0
0.14,0.02,2.49800180540663e-16,2,0
0.16,0.02,2.49800180540663e-16,2,0
0.18,0.02,2.49800180540663e-16,2,0
0.2,0.02,2.49800180540663e-16,2,0
0.22,0.02,2.49800180540663e-16,2,0
0.24,0.02,2.49800180540663e-16,2,0
0.26,0.02,2.49800180540663e-16,2,0
0.28,0.02,2.49800180540663e-16,2,0
0.3,0.02,2.49800180540663e-16,2,0
0.32,0.02,2.49800180540663e-16,2,0
0.34,0.02,2.49800180540663e-16,2,0
0.36,0.02,2.49800180540663e-16,2,0
0.38,0.02,2.49800180540663e-16,2,0
0.4,0.02,2.49800180540663e-16,2,0
0.42,0.02,2.49800180540663e-16,2,0
0.44,0.02,2.49800180540663e-16,2,0
0.46,0.02,2.49800180540663e-16,2,0
0.48,0.02,2.49800180540663e-16,2,0
0.5,0.02,2.49800180540663e-16,2,0
0.52,0.02,2.49800180540663e-16,2,0
0.54,0.02,2.49800180540663e-16,2,0
0.56,0.02,2.49800180540663e-16,2,0
0.58,0.02,2.49800180540663e-16,2,0
0.6,0.02,2.49800180540663e-16,2,0
0.62,0.02,2.49800180540663e-16,2,0
0.64,0.02,2.49800180540663e-16,2,0
0.66,0.02,2.49800180540663e-16,2,0
0.68,0.02,2.49800180540663e-16,2,0
0.7,0.02,2.49800180540663e-16,2,0
0.72,0.02,2.49800180540663e-16,2,0
0.74,0.02,2.49800180540663e-16,2,0
0.76,0.02,2.49800180540663e-16,2,0
0.78,0.02,2.49800180540663e-16,2,0
0.8,0.02,2.49800180540663e-16,2,0
0.82,0.02,2.49800180540663e-16,2,0
0.84,0.02,2.49800180540663e-16,2,0
0,0.04,2.49800180540663e-16,2,0
0.02,0.04,2.49800180540663e-16,2,0
0.04,0.04,2.49800180540663e-16,2,0
0.06,0.04,2.49800180540663e-16,2,0
0.08,0.04,2.49800180540663e-16,2,0
0.1,0.04,2.49800180540663e-16,2,0
0.12,0.04,2.49800180540663e-16,2,0
0.14,0.04,2.49800180540663e-16,2,0
0.16,0.04,2.49800180540663e-16,2,0
0.18,0.04,2.49800180540663e-16,2,0
0.2,0.04,2.49800180540663e-16,2,0
