"Initial_Coral","Fishing_Pressure","Final_Coral","betaT","betaM"
0,0,0.0500511787714413,0.8,0.6
0.02,0,0.0500511787714413,0.8,0.6
0.04,0,0.0500511787714413,0.8,0.6
0.06,0,0.0500511787714413,0.8,0.6
0.08,0,0.0500511787714413,0.8,0.6
0.1,0,0.0500511787714413,0.8,0.6
0.12,0,0.0500511787714413,0.8,0.6
0.14,0,0.0500511787714413,0.8,0.6
0.16,0,0.0500511787714413,0.8,0.6
0.18,0,0.0500511787714413,0.8,0.6
0.2,0,0.0500511787714413,0.8,0.6
0.22,0,0.0500511787714413,0.8,0.6
0.24,0,0.0500511787714413,0.8,0.6
0.26,0,0.0500511787714413,0.8,0.6
0.28,0,0.0500511787714413,0.8,0.6
0.3,0,0.0500511787714413,0.8,0.6
0.32,0,0.0500511787714413,0.8,0.6
0.34,0,0.0500511787714413,0.8,0.6
0.36,0,0.0500511787714413,0.8,0.6
0.38,0,0.0500511787714413,0.8,0.6
0.4,0,0.707352094387022,0.8,0.6
0.42,0,0.707352094387022,0.8,0.6
0.44,0,0.707352094387022,0.8,0.6
0.46,0,0.707352094387022,0.8,0.6
0.48,0,0.707352094387022,0.8,0.6
0.5,0,0.707352094387022,0.8,0.6
0.52,0,0.707352094387022,0.8,0.6
0.54,0,0.707352094387022,0.8,0.6
0.56,0,0.707352094387022,0.8,0.6
0.58,0,0.707352094387022,0.8,0.6
0.6,0,0.707352094387022,0.8,0.6
0.62,0,0.707352094387022,0.8,0.6
0.64,0,0.707352094387022,0.8,0.6
0.66,0,0.707352094387022,0.8,0.6
0.68,0,0.707352094387022,0.8,0.6
0.7,0,0.707352094387022,0.8,0.6
0.72,0,0.707352094387022,0.8,0.6
0.74,0,0.707352094387022,0.8,0.6
0.76,0,0.707352094387022,0.8,0.6
0.78,0,0.707352094387022,0.8,0.6
0.8,0,0.707352094387022,0.8,0.6
0.82,0,0.707352094387027,0.8,0.6
0.84,0,0.707352094387027,0.8,0.6
0,0.02,0.0481095543707701,0.8,0.6
0.02,0.02,0.0481095543707701,0.8,0.6
0.04,0.02,0.0481095543707701,0.8,0.6
0.06,0.02,0.0481095543707701,0.8,0.6
0.08,0.02,0.0481095543707701,0.8,0.6
