Initial_Coral,Fishing_Pressure,Final_Coral
0,0,0.7040120259247796
0.01,0,0.7040120259247796
0.02,0,0.7040120259247796
0.03,0,0.7040120259247796
0.04,0,0.7040120259247796
0.05,0,0.7040120259247796
0.06,0,0.7040120259247796
0.07,0,0.7040120259247796
0.08,0,0.7040120259247796
0.09,0,0.7040120259247796
0.1,0,0.7040120259247796
0.11,0,0.7040120259247796
0.12,0,0.7040120259247796
0.13,0,0.7040120259247796
0.14,0,0.7040120259247796
0.15,0,0.7040120259247796
0.16,0,0.7040120259247796
0.17,0,0.7040120259247796
0.18,0,0.7040120259247796
0.19,0,0.7040120259247796
0.2,0,0.7040120259247796
0.21,0,0.7040120259247796
0.22,0,0.7040120259247796
0.23,0,0.7040120259247796
0.24,0,0.7040120259247796
0.25,0,0.7040120259247796
0.26,0,0.7040120259247796
0.27,0,0.7040120259247796
0.28,0,0.7040120259247796
0.29,0,0.7040120259247796
0.3,0,0.7040120259247796
0.31,0,0.7040120259247796
0.32,0,0.7040120259247796
0.33,0,0.7040120259247796
0.34,0,0.7040120259247796
0.35000000000000003,0,0.7040120259247796
0.36,0,0.7040120259247796
0.37,0,0.7040120259247796
0.38,0,0.7040120259247796
0.39,0,0.7040120259247796
0.4,0,0.7040120259247796
0.41000000000000003,0,0.7040120259247796
0.42,0,0.7040120259247796
0.43,0,0.7040120259247796
0.44,0,0.7040120259247796
0.45,0,0.7040120259247796
0.46,0,0.7040120259247796
0.47000000000000003,0,0.7040120259247796
0.48,0,0.7040120259247796
0.49,0,0.7040120259247796
0.5,0,0.7040120259247796
0.51,0,0.7040120259247796
0.52,0,0.7040120259247796
0.53,0,0.7040120259247796
0.54,0,0.7040120259247796
0.55,0,0.7040120259247796
0.56,0,0.7040120259247796
0.5700000000000001,0,0.7040120259247796
0.58,0,0.7040120259247796
0.59,0,0.7040120259247796
0.6,0,0.7040120259247796
0.61,0,0.7040120259247796
0.62,0,0.7040120259247796
0.63,0,0.7040120259247796
0.64,0,0.7040120259247796
0.65,0,0.7040120259247796
0.66,0,0.7040120259247796
0.67,0,0.7040120259247796
0.68,0,0.7040120259247796
0.6900000000000001,0,0.7040120259247796
